GjaeRecId;LedgerDimension;GroupChartOfAccountsValue;Ledger;PostingLayer;SubledgerVoucher;CreatedBy;MainAccount;Text;JournalType;JournalTypeLabel;NumOfLines;CountLedgerJournal;TransactionCurrencyAmount;TransactionCurrencyCode;Activity
5638131895;5637176284;A10005;5637145326;0;BRC6948;marta.tozzi;5637145479;G/C S.PAO AV.4/2016;0;Daily;0;1;-66000000000;EUR;ACT13
5663635979;5637176289;A10005;5637145326;0;BRC0013743;marta.tozzi;5637145486;PAGAMENTI DIVERSI FORNITORI;0;Daily;0;1;-3585000000;EUR;ACT13
5746922145;5644324438;A10005;5637145326;0;BRC0027440;marta.tozzi;5637145481;MPS - CANONE MENSILE;0;Daily;0;1;-28000000;EUR;ACT13
5716296163;5644324459;A10005;5637145326;0;BRC0021290;marta.tozzi;5637145486;INTESA SANPAOLO - PRESENTAZIONE DEL 23.06.2022;0;Daily;0;1;1,16874E+12;EUR;ACT13
5689363041;5644324459;A10005;5637145326;0;BRC0016803;marta.tozzi;5637145486;G/C SALDO AL 22.07.2021;0;Daily;0;1;-2,50936E+12;EUR;ACT13
5702208109;5644324439;A10005;5637145326;0;4000041199;marta.tozzi;5637145480;GIROCONTO PPT 12.2021;0;Daily;41;41;-7183450000;EUR;ACT13
5730247992;5644324459;A10005;5637145326;0;BRC0024250;marta.tozzi;5637145486;NATIXIS - PRESENTAZIONE DEL 16.12.2022;0;Daily;0;1;2,23911E+12;EUR;ACT13
5723147779;5644324445;A10005;5637145326;0;BRC0022462;marta.tozzi;5637145479;ORGANISMO AGENTI MEDIATORI  - ISCRIZIONE ESAMI MASSARA A.;0;Daily;0;1;-130000000;EUR;ACT13
5701998335;5644324459;A10005;5637145326;0;BRC0018483;marta.tozzi;5637145486;CELTE SPA-Vend.payment: 29/12/2021,DBTP140420,90SG006004,,;0;Daily;0;1;-11224000000;EUR;ACT13
5749804382;5644324445;A10005;5637145326;0;BRC0028323;marta.tozzi;5637145479;ANAC CONTRIBUTO GARA  CONSIP;0;Daily;0;1;-90000000;EUR;ACT13
5681811464;5644324459;A10005;5637145326;0;BRC0016127;marta.tozzi;5637145486;G/C SALDO AL 14.04.2021;0;Daily;0;1;-3,14157E+11;EUR;ACT13
5739574411;5644324439;A10005;5637145326;0;BRC0025959;marta.tozzi;5637145480;FORNITORI 21.03.2023;0;Daily;5;5;-1,02231E+11;EUR;ACT13
5727879926;5644324459;A10005;5637145326;0;BRC0023758;marta.tozzi;5637145486;LANZOLLA V.- NOTA SPESE;0;Daily;0;1;-780230000;EUR;ACT13
5637266192;5637176289;A10005;5637145326;0;1500000206;olivier.massonnat;5637145486;pagamento diversi fornitori;0;Daily;9068;3;-2225000000;EUR;ACT13
5652099838;5637176289;A10005;5637145326;0;BRC0011136;marta.tozzi;5637145486;comm. bancarie SOGE;0;Daily;0;1;-3500000;EUR;ACT13
5642142942;5637176336;A10005;5637145326;0;BRC0008923;marta.tozzi;5637145480;pagamenti diversi - fornitori;0;Daily;0;1;2082000000;EUR;ACT13
5637235536;5637176284;A10005;5637145326;0;1500000051;olivier.massonnat;5637145479;RAI - Abbonam. 2017 RM1;0;Daily;12149;2;-407350000;EUR;ACT13
5637268063;5637176289;A10005;5637145326;0;4000004841;olivier.massonnat;5637145486;g/c saldo al 21.04.2017;0;Daily;9068;2;-1,42407E+11;EUR;ACT13
5637336236;5637176289;A10005;5637145326;0;4000011020;olivier.massonnat;5637145486;g/c saldo 18.09.2017;0;Daily;8708;2;2,92517E+12;EUR;ACT13
5657308706;5637176289;A10005;5637145326;0;BRC0012671;marta.tozzi;5637145486;SISAL ENTERTAINMENT - INC. FT, 2/833-829;0;Daily;10;1;1,42699E+11;EUR;ACT13
5637304637;5637176289;A10005;5637145326;0;4000007971;olivier.massonnat;5637145486;F24 DIP/COLL Giugno 2017;0;Daily;8088;2;-56340000;EUR;ACT13
5648804441;5637176336;A10005;5637145326;0;BRC0010283;marta.tozzi;5637145480;F24 DIP E COLL 04.2019+ I RATA INAIL 2019;0;Daily;0;1;102180000;EUR;ACT13
5658487019;5637176289;A10005;5637145326;0;BRC0012779;marta.tozzi;5637145486;G/C SALDO AL 06.01.2020;0;Daily;0;1;-64987940000;EUR;ACT13
5651236823;5637176336;A10005;5637145326;0;BRC0010899;marta.tozzi;5637145480;F24 DIPE  E COLL 06.2019;0;Daily;0;1;46220000;EUR;ACT13
5666619751;5637176284;A10005;5637145326;0;BRC0014239;marta.tozzi;5637145479;COMM. BANCARIE S.PAO;0;Daily;6;1;-800000;EUR;ACT13
5665338564;5637176289;A10005;5637145326;0;BRC0014015;marta.tozzi;5637145486;G/C SALDO AL 30.06.2020;0;Daily;0;1;-3,89892E+12;EUR;ACT13
5657010451;5637176289;A10005;5637145326;0;BRC0012532;marta.tozzi;5637145486;F24 DIP E COLL 11 2019;0;Daily;0;1;-1030000;EUR;ACT13
5749804286;5644324459;A10005;5637145326;0;BRC0028253;marta.tozzi;5637145486;MASSARA A.M. - NOTA SPESE;0;Daily;0;1;-42260000;EUR;ACT13
5693379346;5644324459;A10005;5637145326;0;BRC0017472;marta.tozzi;5637145486;GSE - INCASSO CONTO TERMICO III TRANCHE;0;Daily;0;1;20699440000;EUR;ACT13
5731632285;5644324459;A10005;5637145326;0;BRC0024511;marta.tozzi;5637145486;ADECCO::2022.0343.00896,2022.0409.00414,2 02 2.0409.00420,2022.1357.00076,2022.1 357.00080;0;Daily;0;1;-2,28682E+11;EUR;ACT13
5718724094;5644324459;A10005;5637145326;0;BRC0021804;marta.tozzi;5637145486;GIANNACE D. - NOTA SPESE;0;Daily;0;1;-123000000;EUR;ACT13
5749830496;5644324445;A10005;5637145326;0;BRC0028350;marta.tozzi;5637145479;COMM. BANCARIE S.PAO;0;Daily;0;1;-1300000;EUR;ACT13
5694717874;5644324439;A10005;5637145326;0;BRC0017494;marta.tozzi;5637145480;G/C INTERESSI E COMPETENZE S.PAO SPRINTER 6 5674;0;Daily;0;1;-30000000;EUR;ACT13
