item_id,timestamp,ACT01,ACT03,ACT04,ACT07,ACT09,ACT13,ACT15,ACT17,ACT32,ACT44,target
FR13,2019-12-30,1267.0,299.0,0.0,2108.0,189.0,84.0,0.0,0.0,3716.0,0.0,7663.0
FR13,2020-01-06,1052.0,490.0,2.0,103.0,255.0,191.0,3.0,0.0,821.0,0.0,2917.0
FR13,2020-01-13,846.0,115.0,0.0,280.0,69.0,66.0,416.0,407.0,142.0,0.0,2341.0
FR13,2020-01-20,1350.0,932.0,44.0,568.0,297.0,278.0,81.0,80.0,223.0,0.0,3853.0
FR13,2020-01-27,1871.0,863.0,0.0,609.0,363.0,219.0,2.0,0.0,19393.0,58931.0,82251.0
FR13,2020-02-03,2470.0,303.0,0.0,1958.0,79.0,47.0,12588.0,12536.0,3646.0,0.0,33627.0
FR13,2020-02-10,1002.0,957.0,0.0,233.0,375.0,304.0,3.0,0.0,383.0,0.0,3257.0
FR13,2020-02-17,302.0,93.0,0.0,315.0,72.0,158.0,0.0,0.0,125.0,0.0,1065.0
FR13,2020-02-24,1694.0,463.0,2.0,678.0,223.0,183.0,13.0,9.0,18526.0,0.0,21791.0
FR13,2020-03-02,2799.0,675.0,4.0,2011.0,190.0,69.0,12189.0,12131.0,2832.0,0.0,32900.0
FR13,2020-03-09,1124.0,509.0,0.0,162.0,135.0,200.0,73.0,69.0,114.0,0.0,2386.0
FR13,2020-03-16,707.0,749.0,0.0,404.0,327.0,239.0,2.0,0.0,171.0,0.0,2599.0
FR13,2020-03-23,1534.0,495.0,2.0,321.0,132.0,91.0,12184.0,12184.0,182.0,0.0,27125.0
FR13,2020-03-30,1616.0,476.0,0.0,2067.0,169.0,177.0,0.0,0.0,24333.0,0.0,28838.0
FR13,2020-04-06,502.0,867.0,2.0,427.0,214.0,58.0,8.0,4.0,525.0,0.0,2607.0
FR13,2020-04-13,814.0,425.0,0.0,496.0,217.0,348.0,3.0,2.0,288.0,0.0,2593.0
FR13,2020-04-20,934.0,558.0,0.0,379.0,201.0,241.0,3.0,2.0,190.0,0.0,2508.0
FR13,2020-04-27,1833.0,42.0,0.0,177.0,13.0,46.0,11832.0,11821.0,16364.0,0.0,42128.0
FR13,2020-05-04,953.0,805.0,2.0,1487.0,185.0,129.0,1.0,0.0,3164.0,0.0,6726.0
FR13,2020-05-11,554.0,160.0,0.0,217.0,95.0,188.0,0.0,0.0,127.0,0.0,1341.0
FR13,2020-05-18,1018.0,1030.0,2.0,327.0,191.0,236.0,3.0,0.0,187.0,0.0,2994.0
FR13,2020-05-25,1757.0,37.0,0.0,266.0,89.0,132.0,11832.0,11817.0,4464.0,0.0,30394.0
FR13,2020-06-01,753.0,626.0,4.0,1452.0,229.0,107.0,2.0,0.0,25608.0,0.0,28781.0
FR13,2020-06-08,566.0,202.0,2.0,570.0,133.0,178.0,4.0,0.0,134.0,0.0,1789.0
FR13,2020-06-15,644.0,311.0,2.0,174.0,215.0,112.0,0.0,0.0,96.0,0.0,1554.0
FR13,2020-06-22,1971.0,569.0,0.0,539.0,166.0,154.0,2.0,0.0,250.0,0.0,3651.0
FR13,2020-06-29,1326.0,1008.0,2.0,1783.0,214.0,114.0,11453.0,11453.0,22351.0,0.0,49704.0
FR13,2020-07-06,906.0,477.0,0.0,199.0,117.0,69.0,0.0,0.0,499.0,0.0,2267.0
FR13,2020-07-13,648.0,74.0,6.0,310.0,92.0,257.0,0.0,0.0,165.0,0.0,1552.0
FR13,2020-07-20,885.0,672.0,2.0,366.0,166.0,144.0,0.0,0.0,205.0,0.0,2440.0
